max_time	min_time	small_flux	big_flux	park_depth	wmo	cycle	window_size	quartile
2022-07-16T17:24:59Z	2022-07-15T17:54:59Z	17.33902449950843	28.313162337471894	200 m	4903634	12	7	90
2022-07-16T17:24:59Z	2022-07-15T17:54:59Z	15.248509128488474	28.313162337471894	200 m	4903634	12	7	95
2022-07-26T17:43:23Z	2022-07-25T18:13:23Z	14.379648357917198	16.05720551767172	200 m	4903634	13	3	90
2022-07-26T17:43:23Z	2022-07-25T18:13:23Z	15.27368797485437	13.611054178409182	200 m	4903634	13	3	95
2022-07-26T17:43:23Z	2022-07-25T18:13:23Z	15.27368797485437	13.611054178409182	200 m	4903634	13	5	90
2022-07-26T17:43:23Z	2022-07-25T18:13:23Z	15.27368797485437	13.611054178409182	200 m	4903634	13	5	95
2022-07-26T17:43:23Z	2022-07-25T18:13:23Z	15.27368797485437	13.611054178409182	200 m	4903634	13	7	90
2022-07-26T17:43:23Z	2022-07-25T18:13:23Z	15.27368797485437	13.611054178409182	200 m	4903634	13	7	95
2022-08-05T17:38:49Z	2022-08-04T18:08:49Z	13.220931624169728	23.33282278268337	200 m	4903634	14	3	90
2022-08-05T17:38:49Z	2022-08-04T18:08:49Z	22.559209902718724	15.22656649890115	200 m	4903634	14	3	95
2022-08-05T17:38:49Z	2022-08-04T18:08:49Z	13.220931624169728	23.33282278268337	200 m	4903634	14	5	90
2022-08-05T17:38:49Z	2022-08-04T18:08:49Z	22.559209902718724	15.22656649890115	200 m	4903634	14	5	95
2022-08-05T17:38:49Z	2022-08-04T18:08:49Z	13.220931624169728	23.33282278268337	200 m	4903634	14	7	90
2022-08-05T17:38:49Z	2022-08-04T18:08:49Z	22.559209902718724	15.22656649890115	200 m	4903634	14	7	95
2022-08-15T17:58:58Z	2022-08-14T18:28:58Z	11.371120509093686	0	200 m	4903634	15	3	90
2022-08-15T17:58:58Z	2022-08-14T18:28:58Z	11.371120509093686	0	200 m	4903634	15	3	95
2022-08-15T17:58:58Z	2022-08-14T18:28:58Z	11.371120509093686	0	200 m	4903634	15	5	90
2022-08-15T17:58:58Z	2022-08-14T18:28:58Z	11.371120509093686	0	200 m	4903634	15	5	95
2022-08-15T17:58:58Z	2022-08-14T18:28:58Z	11.371120509093686	0	200 m	4903634	15	7	90
2022-08-15T17:58:58Z	2022-08-14T18:28:58Z	11.371120509093686	0	200 m	4903634	15	7	95
2022-08-25T17:19:56Z	2022-08-24T17:49:56Z	13.479333555526866	0	200 m	4903634	16	3	90
2022-08-25T17:19:56Z	2022-08-24T17:49:56Z	13.479333555526866	0	200 m	4903634	16	3	95
2022-08-25T17:19:56Z	2022-08-24T17:49:56Z	13.479333555526866	0	200 m	4903634	16	5	90
2022-08-25T17:19:56Z	2022-08-24T17:49:56Z	13.479333555526866	0	200 m	4903634	16	5	95
2022-08-25T17:19:56Z	2022-08-24T17:49:56Z	13.479333555526866	0	200 m	4903634	16	7	90
2022-08-25T17:19:56Z	2022-08-24T17:49:56Z	13.479333555526866	0	200 m	4903634	16	7	95
2022-09-04T17:40:08Z	2022-09-03T18:10:08Z	16.4228707811484	2.9050161529354956	200 m	4903634	17	3	90
2022-09-04T17:40:08Z	2022-09-03T18:10:08Z	18.39854542971604	0	200 m	4903634	17	3	95
2022-09-04T17:40:08Z	2022-09-03T18:10:08Z	18.39854542971604	0	200 m	4903634	17	5	90
2022-09-04T17:40:08Z	2022-09-03T18:10:08Z	18.39854542971604	0	200 m	4903634	17	5	95
2022-09-04T17:40:08Z	2022-09-03T18:10:08Z	18.39854542971604	0	200 m	4903634	17	7	90
2022-09-04T17:40:08Z	2022-09-03T18:10:08Z	18.39854542971604	0	200 m	4903634	17	7	95
2022-09-14T17:46:25Z	2022-09-13T18:16:25Z	19.10440340002477	9.654029180810419	200 m	4903634	18	3	90
2022-09-14T17:46:25Z	2022-09-13T18:16:25Z	24.5396646708328	0	200 m	4903634	18	3	95
2022-09-14T17:46:25Z	2022-09-13T18:16:25Z	20.474542653634195	8.029589915519995	200 m	4903634	18	5	90
2022-09-14T17:46:25Z	2022-09-13T18:16:25Z	24.5396646708328	0	200 m	4903634	18	5	95
2022-09-14T17:46:25Z	2022-09-13T18:16:25Z	22.016033593959854	6.151408272703093	200 m	4903634	18	7	90
2022-09-14T17:46:25Z	2022-09-13T18:16:25Z	24.5396646708328	0	200 m	4903634	18	7	95
2022-09-24T18:01:34Z	2022-09-23T18:31:34Z	22.39961397631342	73.79252584417891	200 m	4903634	19	3	90
2022-09-24T18:01:34Z	2022-09-23T18:31:34Z	23.24650585940207	68.42572924327965	200 m	4903634	19	3	95
2022-09-24T18:01:34Z	2022-09-23T18:31:34Z	21.68908792565572	71.2580784026103	200 m	4903634	19	5	90
2022-09-24T18:01:34Z	2022-09-23T18:31:34Z	23.24650585940207	68.42572924327965	200 m	4903634	19	5	95
2022-09-24T18:01:34Z	2022-09-23T18:31:34Z	21.68908792565572	71.2580784026103	200 m	4903634	19	7	90
2022-09-24T18:01:34Z	2022-09-23T18:31:34Z	23.24650585940207	68.42572924327965	200 m	4903634	19	7	95
2022-10-04T18:39:04Z	2022-10-03T19:09:05Z	16.360807738553664	4.990861104122992	200 m	4903634	20	3	90
2022-10-04T18:39:04Z	2022-10-03T19:09:05Z	18.741853795477816	0	200 m	4903634	20	3	95
2022-10-04T18:39:04Z	2022-10-03T19:09:05Z	16.360807738553664	4.990861104122992	200 m	4903634	20	5	90
2022-10-04T18:39:04Z	2022-10-03T19:09:05Z	18.741853795477816	0	200 m	4903634	20	5	95
2022-10-04T18:39:04Z	2022-10-03T19:09:05Z	16.360807738553664	4.990861104122992	200 m	4903634	20	7	90
2022-10-04T18:39:04Z	2022-10-03T19:09:05Z	18.741853795477816	0	200 m	4903634	20	7	95
