depth	nb_image	juld	cycle	nb_object	conc_object	PhaseName	wmo	date
972.4000244140625	20	26704.763831018518	1	11	0.7857142857142857	PAR	1902593	2023-02-11T18:19:55Z
985.20001220703125	20	26704.847141203703	1	7	0.5	PAR	1902593	2023-02-11T20:19:53Z
990.4000244140625	20	26704.930486111112	1	7	0.5	PAR	1902593	2023-02-11T22:19:54Z
991.9000244140625	20	26705.013819444444	1	0	0	PAR	1902593	2023-02-12T00:19:54Z
991	75	26705.026805555557	1	34	0.6476190476190476	NPAR	1902593	2023-02-12T00:38:36Z
981.0999755859375	125	26705.029085648148	1	65	0.7428571428571429	NPAR	1902593	2023-02-12T00:41:53Z
959.70001220703125	115	26705.03185185185	1	40	0.4968944099378882	NPAR	1902593	2023-02-12T00:45:52Z
940	115	26705.034513888888	1	43	0.5341614906832298	NPAR	1902593	2023-02-12T00:49:42Z
919.79998779296875	100	26705.037002314813	1	46	0.6571428571428571	NPAR	1902593	2023-02-12T00:53:17Z
899.70001220703125	100	26705.03931712963	1	45	0.6428571428571429	NPAR	1902593	2023-02-12T00:56:37Z
879.70001220703125	110	26705.041747685184	1	46	0.5974025974025974	NPAR	1902593	2023-02-12T01:00:07Z
859.5999755859375	115	26705.04435185185	1	55	0.6832298136645962	NPAR	1902593	2023-02-12T01:03:52Z
840.20001220703125	110	26705.04695601852	1	38	0.4935064935064935	NPAR	1902593	2023-02-12T01:07:37Z
819.79998779296875	100	26705.049386574075	1	34	0.4857142857142857	NPAR	1902593	2023-02-12T01:11:07Z
800.0999755859375	105	26705.05175925926	1	62	0.8435374149659864	NPAR	1902593	2023-02-12T01:14:32Z
780.4000244140625	110	26705.05425925926	1	59	0.7662337662337663	NPAR	1902593	2023-02-12T01:18:08Z
760.0999755859375	115	26705.056851851852	1	57	0.7080745341614907	NPAR	1902593	2023-02-12T01:21:52Z
739.70001220703125	120	26705.05957175926	1	42	0.5	NPAR	1902593	2023-02-12T01:25:47Z
719.79998779296875	115	26705.062291666665	1	58	0.7204968944099379	NPAR	1902593	2023-02-12T01:29:42Z
700.79998779296875	105	26705.064837962964	1	43	0.5850340136054422	NPAR	1902593	2023-02-12T01:33:22Z
679.79998779296875	100	26705.067210648147	1	33	0.4714285714285714	NPAR	1902593	2023-02-12T01:36:47Z
659.70001220703125	100	26705.069525462965	1	36	0.5142857142857142	NPAR	1902593	2023-02-12T01:40:07Z
639.79998779296875	105	26705.071898148148	1	24	0.32653061224489793	NPAR	1902593	2023-02-12T01:43:32Z
619.9000244140625	110	26705.074398148146	1	34	0.44155844155844154	NPAR	1902593	2023-02-12T01:47:08Z
599.79998779296875	125	26705.07710648148	1	63	0.72	NPAR	1902593	2023-02-12T01:51:02Z
579.79998779296875	110	26705.07982638889	1	45	0.5844155844155844	NPAR	1902593	2023-02-12T01:54:57Z
559.70001220703125	115	26705.082430555554	1	48	0.5962732919254659	NPAR	1902593	2023-02-12T01:58:42Z
540.29998779296875	105	26705.084976851853	1	42	0.5714285714285714	NPAR	1902593	2023-02-12T02:02:22Z
519.9000244140625	115	26705.087523148148	1	42	0.5217391304347826	NPAR	1902593	2023-02-12T02:06:02Z
500.20001220703125	115	26705.090185185185	1	55	0.6832298136645962	NPAR	1902593	2023-02-12T02:09:52Z
480.1000061035156	105	26705.09273148148	1	65	0.8843537414965986	NPAR	1902593	2023-02-12T02:13:32Z
460	105	26705.095162037036	1	51	0.6938775510204082	NPAR	1902593	2023-02-12T02:17:02Z
444.6000061035156	181	26705.097037037038	1	102	0.8050513022888715	NPAR	1902593	2023-02-12T02:19:44Z
434.8999938964844	194	26705.098310185185	1	123	0.9057437407952873	NPAR	1902593	2023-02-12T02:21:34Z
425.1000061035156	186	26705.099606481483	1	131	1.0061443932411676	NPAR	1902593	2023-02-12T02:23:26Z
415	190	26705.100925925926	1	153	1.150375939849624	NPAR	1902593	2023-02-12T02:25:20Z
404.8999938964844	178	26705.102210648147	1	129	1.0353130016051364	NPAR	1902593	2023-02-12T02:27:11Z
394.8999938964844	184	26705.103483796298	1	177	1.3742236024844723	NPAR	1902593	2023-02-12T02:29:01Z
