wmo	size_class	max_abundance	standard_dev	time_max_abundance	depth	r2	date	xmax	xmin	DOY
6904240	NP_Size_102	0.3813039115365966	26.75147287043661	176.52455612810638	50	0.8536749817541784	2022-06-26	190	164	177
6904240	NP_Size_102	0.19161288813054309	23.82470741582163	189.04562874990353	70	0.747645936037726	2022-07-09	201	178	190
6904240	NP_Size_102	0.06861421488989483	100.79691027123395	179.52166722617272	225	0.3342403934969791	2022-06-29	230	130	180
6904240	NP_Size_102	0.05875309233684703	57.59730712217497	207.56250488517	275	0.4007396292344413	2022-07-27	237	179	208
6904240	NP_Size_102	0.047362803212007996	58.55907486699038	213.53490966206505	350	0.6293175485620879	2022-08-02	243	185	214
6904240	NP_Size_102	0.029611256082219446	61.86616942407887	184.4311359246221	700	0.998737431692296	2022-07-04	216	154	185
6904240	NP_Size_102	0.032361554350349375	67.88137048295538	199.91655327632586	900	0.8636423597738352	2022-07-19	234	166	200
6904240	NP_Size_102	0.02239245933957202	73.3711289573742	216.82835659481918	1125	0.6683094425788318	2022-08-05	254	181	217
6904240	NP_Size_102	0.014472599912603874	67.45363655710828	214.33412487360323	1375	0.5572209169164014	2022-08-03	249	181	215
6904240	NP_Size_102	0.010611915488840606	54.54320839125579	214.72385081605862	1625	0.6431983837766734	2022-08-03	242	188	215
6904240	NP_Size_102	0.009723796470957544	38.808463979906605	210.11985078566818	1875	0.7973768917131364	2022-07-30	230	191	211
6904240	NP_Size_128	0.30420190763602917	26.977781603584344	175.1843299777379	50	0.8653852019213156	2022-06-25	189	162	176
6904240	NP_Size_128	0.14751921268459772	20.981419635133133	188.93831416512475	70	0.7481520168034638	2022-07-08	200	179	189
6904240	NP_Size_128	0.11937536400535224	58.119285436474485	166.90823494109003	90	0.7139302691377429	2022-06-16	196	138	167
6904240	NP_Size_128	0.044321889463230985	83.2383767158354	187.57605036307066	225	0.2986508974109201	2022-07-07	230	146	188
6904240	NP_Size_128	0.04037351423298001	52.942262012866834	207.38077005073242	275	0.42911526936844	2022-07-27	234	181	208
6904240	NP_Size_128	0.0330337964183198	49.961389641583104	213.20550375558983	350	0.715867275484528	2022-08-02	239	189	214
6904240	NP_Size_128	0.01916251956617827	124.02014877664185	191.32851603824628	450	0.7809667142256105	2022-07-11	254	130	192
6904240	NP_Size_128	0.019204665764254718	57.40836413140251	185.46096246984962	700	0.9913488966163806	2022-07-05	215	157	186
6904240	NP_Size_128	0.02317004315230875	68.66952034898223	190.00557191788363	900	0.8879890591681487	2022-07-10	225	156	191
6904240	NP_Size_128	0.01653909523021234	73.51662468686622	211.28857275940112	1125	0.6154373396940699	2022-07-31	249	175	212
6904240	NP_Size_128	0.010760134684692578	69.97537914089595	211.7945110500567	1375	0.6931496313881723	2022-07-31	247	177	212
6904240	NP_Size_128	0.00813729073789653	56.975621879749575	216.12513440767938	1625	0.6128901546735366	2022-08-05	245	188	217
6904240	NP_Size_128	0.007628658490157797	39.56406676586605	210.34558644835695	1875	0.8043657256017814	2022-07-30	231	191	211
6904240	NP_Size_161	0.22353121788364552	29.48288504968001	172.92102171324666	50	0.8740126199339621	2022-06-22	188	159	173
6904240	NP_Size_161	0.1037991136445963	21.35612264072007	188.58563918008838	70	0.7053612538431527	2022-07-08	200	178	189
6904240	NP_Size_161	0.08035165989037209	61.565241460499564	165.9630120284852	90	0.6757259612180628	2022-06-15	197	136	166
6904240	NP_Size_161	0.027867716055686435	67.9632845958755	192.56901285994746	225	0.3249055401035834	2022-07-12	227	159	193
6904240	NP_Size_161	0.0255799403175392	50.796755295018734	206.98334709565236	275	0.42694692044715166	2022-07-26	233	182	207
6904240	NP_Size_161	0.021247579628914437	45.3343958293842	212.79613263553867	350	0.7053860003276715	2022-08-01	236	191	213
6904240	NP_Size_161	0.01200792336661501	72.61029775484056	205.75280804962347	450	0.8910380822801031	2022-07-25	243	170	206
6904240	NP_Size_161	0.011529548153196683	48.57342566000816	189.22172084552707	700	0.9691351537424984	2022-07-09	214	165	190
6904240	NP_Size_161	0.016338438450827344	66.13232299377952	183.06006995747197	900	0.9693946699374232	2022-07-03	217	150	184
6904240	NP_Size_161	0.011764654129920605	80.35336011046294	196.9972025006319	1125	0.7122463374996586	2022-07-16	238	157	197
6904240	NP_Size_161	0.008206505261988387	62.562944410655355	209.90806377662358	1375	0.63576659739860375	2022-07-29	242	179	210
6904240	NP_Size_161	0.005819312003466485	63.857101623895545	215.7641013483712	1625	0.631463452558013	2022-08-04	248	184	216
6904240	NP_Size_161	0.00557661588946854	39.69178188291643	208.46984858599853	1875	0.8161969554714494	2022-07-28	229	189	209
6904240	NP_Size_203	0.25165855670547777	38.15741492193007	164.28163331173238	50	0.8843309666353844	2022-06-14	184	146	165
6904240	NP_Size_203	0.10465735196988302	24.409243448511027	187.99232619621236	70	0.6530425336542729	2022-07-07	201	176	188
6904240	NP_Size_203	0.07832881225880065	66.6241449104133	165.2035259585904	90	0.6565425444943579	2022-06-15	199	132	166
6904240	NP_Size_203	0.03192160449706855	104.50966927619585	164.49956583264782	170	0.3951809308121286	2022-06-14	217	113	165
6904240	NP_Size_203	0.026453931808196197	75.97583550816445	185.6893200913567	190	0.4315854806298036	2022-07-05	224	148	186
6904240	NP_Size_203	0.02397002444525583	65.92021518843116	198.60702662479858	225	0.21807239279542867	2022-07-18	232	166	199
6904240	NP_Size_203	0.022911611005473648	50.37818230122669	208.93350982894975	275	0.4518206628945649	2022-07-28	235	184	209
6904240	NP_Size_203	0.01923689423800019	42.8558081863805	213.80195576187933	350	0.6996368395022047	2022-08-02	236	193	214
6904240	NP_Size_203	0.010690362314187875	56.6577316992582	209.20537422291414	450	0.9027104423871027	2022-07-29	238	181	210
6904240	NP_Size_203	0.00760740365585893	68.78378153008092	190.56458812620338	550	0.6480041335996296	2022-07-10	225	157	191
6904240	NP_Size_203	0.010188171836776469	47.21615621927011	191.36571716096805	700	0.8936883783606755	2022-07-11	215	168	192
6904240	NP_Size_203	0.016819094944965772	73.95804108335527	171.01768104091298	900	0.9860531128894283	2022-06-21	208	135	172
6904240	NP_Size_203	0.01312450989154153	94.91219031716528	172.0902121519588	1125	0.770578083426964	2022-06-22	220	125	173
6904240	NP_Size_203	0.009091253287082816	66.40803931807164	208.21173333950296	1375	0.796062911169243	2022-07-28	242	176	209
