depth	nb_image	juld	cycle	nb_calanoid	conc_calanoid	PhaseName
973.0999755859375	20	26439.128425925926	1	0	0	PAR
978.5999755859375	20	26439.21175925926	1	0	0	PAR
982.20001220703125	20	26439.295092592594	1	0	0	PAR
982.9000244140625	95	26439.35164351852	1	0	0	NPAR
970.79998779296875	115	26439.35402777778	1	0	0	NPAR
950	110	26439.356631944444	1	0	0	NPAR
930	110	26439.359178240742	1	0	0	NPAR
910	120	26439.36184027778	1	1	0.011904761904761904	NPAR
889.9000244140625	120	26439.364618055555	1	0	0	NPAR
870	95	26439.36710648148	1	2	0.03007518796992481	NPAR
850	100	26439.369363425925	1	0	0	NPAR
829.70001220703125	105	26439.371736111112	1	2	0.027210884353741496	NPAR
809.70001220703125	105	26439.37416666667	1	0	0	NPAR
789.79998779296875	110	26439.376655092594	1	0	0	NPAR
770	115	26439.379259259258	1	0	0	NPAR
750.0999755859375	120	26439.38197916667	1	1	0.011904761904761904	NPAR
730.79998779296875	100	26439.384525462963	1	0	0	NPAR
710.20001220703125	100	26439.386840277777	1	0	0	NPAR
689.9000244140625	105	26439.389212962964	1	0	0	NPAR
669.9000244140625	105	26439.39164351852	1	1	0.013605442176870748	NPAR
649.79998779296875	120	26439.394247685184	1	1	0.011904761904761904	NPAR
630.4000244140625	100	26439.396805555556	1	0	0	NPAR
610	100	26439.39912037037	1	1	0.014285714285714285	NPAR
590	105	26439.40148148148	1	0	0	NPAR
570	115	26439.40402777778	1	0	0	NPAR
550.0999755859375	120	26439.406747685185	1	1	0.011904761904761904	NPAR
529.9000244140625	100	26439.40929398148	1	1	0.014285714285714285	NPAR
509.8999938964844	115	26439.41178240741	1	0	0	NPAR
494.6000061035156	210	26439.41383101852	1	1	0.006802721088435374	NPAR
484.8999938964844	222	26439.415185185186	1	4	0.025740025740025745	NPAR
474.8999938964844	188	26439.416481481483	1	2	0.015197568389057751	NPAR
464.8999938964844	184	26439.417662037038	1	3	0.02329192546583851	NPAR
454.8999938964844	192	26439.418854166666	1	0	0	NPAR
444.79998779296875	192	26439.420069444444	1	2	0.014880952380952384	NPAR
435	190	26439.42130787037	1	2	0.015037593984962405	NPAR
425	196	26439.422546296297	1	1	0.00728862973760933	NPAR
414.8999938964844	200	26439.423831018517	1	4	0.02857142857142857	NPAR
404.79998779296875	202	26439.425138888888	1	3	0.02121640735502122	NPAR
394.79998779296875	208	26439.42646990741	1	3	0.020604395604395604	NPAR
384.79998779296875	216	26439.42784722222	1	0	0	NPAR
375	210	26439.429201388888	1	1	0.006802721088435374	NPAR
364.8999938964844	182	26439.43045138889	1	0	0	NPAR
354.8999938964844	172	26439.431585648148	1	2	0.016611295681063124	NPAR
345	176	26439.432708333334	1	2	0.016233766233766236	NPAR
334.8999938964844	176	26439.433842592593	1	2	0.016233766233766236	NPAR
325	172	26439.43496527778	1	2	0.016611295681063124	NPAR
314.8999938964844	178	26439.436099537037	1	3	0.024077046548956663	NPAR
304.8999938964844	176	26439.43726851852	1	3	0.024350649350649352	NPAR
294.8999938964844	182	26439.4384375	1	4	0.031397174254317116	NPAR
284.8999938964844	188	26439.439641203702	1	6	0.04559270516717325	NPAR
274.8999938964844	192	26439.44087962963	1	6	0.04464285714285715	NPAR
264.8999938964844	192	26439.44212962963	1	6	0.04464285714285715	NPAR
254.8000030517578	186	26439.443414351852	1	5	0.03840245775729647	NPAR
244.89999389648438	184	26439.444722222222	1	8	0.06211180124223603	NPAR
235	190	26439.44605324074	1	10	0.07518796992481203	NPAR
224.89999389648438	202	26439.447407407406	1	11	0.0777934936350778	NPAR
214.89999389648438	198	26439.448784722223	1	4	0.02886002886002886	NPAR
205	198	26439.450150462962	1	11	0.07936507936507937	NPAR
194.89999389648438	184	26439.451550925925	1	20	0.15527950310559008	NPAR
185.1999969482422	180	26439.452905092592	1	19	0.1507936507936508	NPAR
175	150	26439.454131944443	1	11	0.10476190476190476	NPAR
165.1999969482422	138	26439.455231481483	1	19	0.19668737060041408	NPAR
155.10000610351562	138	26439.456319444445	1	9	0.09316770186335405	NPAR
144.89999389648438	132	26439.457407407408	1	11	0.11904761904761905	NPAR
135	138	26439.458506944444	1	11	0.11387163561076605	NPAR
125.0999984741211	132	26439.459618055556	1	8	0.08658008658008659	NPAR
114.9000015258789	134	26439.46077546296	1	12	0.1279317697228145	NPAR
104.80000305175781	126	26439.46195601852	1	14	0.15873015873015875	NPAR
97.9000015258789	50	26439.462800925925	1	6	0.17142857142857143	NPAR
93.30000305175781	66	26439.463368055556	1	6	0.12987012987012989	NPAR
88.4000015258789	62	26439.46398148148	1	7	0.16129032258064516	NPAR
83.5	66	26439.464618055557	1	6	0.12987012987012989	NPAR
78.69999694824219	68	26439.465277777777	1	1	0.02100840336134454	NPAR
73.5999984741211	72	26439.46597222222	1	4	0.07936507936507936	NPAR
68.69999694824219	64	26439.466666666667	1	6	0.13392857142857142	NPAR
63.79999923706055	72	26439.467349537037	1	6	0.11904761904761905	NPAR
58.29999923706055	68	26439.467997685184	1	8	0.16806722689075632	NPAR
53.29999923706055	72	26439.468622685185	1	18	0.35714285714285715	NPAR
48.29999923706055	78	26439.46929398148	1	34	0.6227106227106228	NPAR
43.400001525878906	84	26439.47005787037	1	34	0.5782312925170068	NPAR
38.400001525878906	112	26439.47090277778	1	38	0.48469387755102045	NPAR
33.5	98	26439.471724537038	1	30	0.4373177842565598	NPAR
28.5	88	26439.47241898148	1	14	0.2272727272727273	NPAR
23.399999618530273	70	26439.472997685185	1	10	0.20408163265306123	NPAR
18.299999237060547	74	26439.47351851852	1	6	0.11583011583011583	NPAR
13.399999618530273	82	26439.474085648148	1	7	0.12195121951219512	NPAR
8.399999618530273	106	26439.47472222222	1	4	0.05390835579514826	NPAR
3.4000000953674316	102	26439.475439814814	1	5	0.07002801120448181	NPAR
0.800000011920929	8	26439.47871527778	1	0	0	NPAR
972.70001220703125	20	26439.88365740741	2	1	0.07142857142857142	PAR
992.70001220703125	20	26439.96699074074	2	0	0	PAR
1001.9000244140625	20	26440.050324074073	2	0	0	PAR
998.20001220703125	20	26440.13365740741	2	0	0	PAR
1002.7999877929688	20	26440.21699074074	2	0	0	PAR
1003.0999755859375	20	26440.300324074073	2	0	0	PAR
1004.5999755859375	20	26440.38365740741	2	0	0	PAR
1005.5	20	26440.46699074074	2	1	0.07142857142857142	PAR
1004.2999877929688	115	26440.47204861111	2	0	0	NPAR
990.4000244140625	120	26440.474675925925	2	0	0	NPAR
969.70001220703125	120	26440.47740740741	2	1	0.011904761904761904	NPAR
949.9000244140625	100	26440.479953703703	2	0	0	NPAR
929.70001220703125	100	26440.482268518517	2	1	0.014285714285714285	NPAR
909.79998779296875	100	26440.484583333335	2	0	0	NPAR
890.0999755859375	105	26440.486956018518	2	0	0	NPAR
870.0999755859375	110	26440.489444444444	2	0	0	NPAR
849.79998779296875	115	26440.49204861111	2	0	0	NPAR
829.5999755859375	120	26440.494768518518	2	1	0.011904761904761904	NPAR
810.0999755859375	110	26440.497430555555	2	0	0	NPAR
789.9000244140625	100	26440.49986111111	2	0	0	NPAR
770	110	26440.502291666668	2	1	0.012987012987012988	NPAR
750	110	26440.504837962962	2	0	0	NPAR
730.0999755859375	120	26440.5075	2	0	0	NPAR
710.0999755859375	110	26440.510162037037	2	1	0.012987012987012988	NPAR
689.79998779296875	100	26440.512592592593	2	1	0.014285714285714285	NPAR
670.29998779296875	105	26440.514965277776	2	1	0.013605442176870748	NPAR
650.0999755859375	110	26440.517453703702	2	0	0	NPAR
629.79998779296875	115	26440.52005787037	2	1	0.012422360248447204	NPAR
609.5999755859375	115	26440.522719907407	2	1	0.012422360248447204	NPAR
589.5999755859375	120	26440.525439814814	2	0	0	NPAR
570.20001220703125	105	26440.52804398148	2	1	0.013605442176870748	NPAR
550.0999755859375	100	26440.53042824074	2	0	0	NPAR
529.9000244140625	115	26440.532905092594	2	1	0.012422360248447204	NPAR
509.70001220703125	115	26440.53556712963	2	1	0.012422360248447204	NPAR
495	189	26440.53755787037	2	1	0.007558578987150417	NPAR
485	190	26440.538761574073	2	1	0.007518796992481203	NPAR
474.8999938964844	190	26440.539953703705	2	2	0.015037593984962405	NPAR
465	192	26440.541157407406	2	4	0.029761904761904767	NPAR
454.8999938964844	196	26440.54238425926	2	3	0.02186588921282799	NPAR
444.8999938964844	196	26440.54363425926	2	2	0.01457725947521866	NPAR
435	192	26440.54488425926	2	5	0.03720238095238096	NPAR
425	210	26440.546180555557	2	3	0.02040816326530612	NPAR
414.8999938964844	202	26440.547511574074	2	5	0.03536067892503537	NPAR
404.8999938964844	208	26440.548842592594	2	2	0.013736263736263736	NPAR
394.8999938964844	206	26440.550185185184	2	3	0.020804438280166437	NPAR
384.8999938964844	216	26440.551550925928	2	6	0.03968253968253969	NPAR
375	218	26440.55295138889	2	5	0.0327653997378768	NPAR
365.1000061035156	190	26440.554282407407	2	3	0.022556390977443608	NPAR
355	170	26440.555462962962	2	2	0.016806722689075633	NPAR
345.1000061035156	174	26440.556608796298	2	10	0.08210180623973727	NPAR
335.1000061035156	168	26440.557777777776	2	11	0.0935374149659864	NPAR
325	166	26440.558946759258	2	12	0.10327022375215147	NPAR
314.8999938964844	170	26440.56013888889	2	15	0.12605042016806725	NPAR
304.79998779296875	176	26440.56136574074	2	16	0.12987012987012989	NPAR
