depth	nb_image	juld	cycle	nb_calanoid	conc_calanoid	PhaseName
972.29998779296875	20	26446.857858796295	1	0	0	PAR
985.4000244140625	20	26446.94119212963	1	0	0	PAR
990.0999755859375	20	26447.024525462963	1	0	0	PAR
988.9000244140625	150	26447.097326388888	1	0	0	NPAR
969.79998779296875	105	26447.100231481483	1	0	0	NPAR
949.9000244140625	110	26447.10271990741	1	0	0	NPAR
929.9000244140625	115	26447.105324074073	1	0	0	NPAR
910.0999755859375	120	26447.108043981483	1	0	0	NPAR
890.4000244140625	100	26447.110590277778	1	0	0	NPAR
870	105	26447.11296296296	1	0	0	NPAR
849.79998779296875	105	26447.115393518518	1	0	0	NPAR
829.9000244140625	110	26447.117881944443	1	2	0.025974025974025976	NPAR
809.79998779296875	120	26447.12054398148	1	0	0	NPAR
790.29998779296875	110	26447.123206018518	1	0	0	NPAR
769.70001220703125	95	26447.125636574074	1	2	0.03007518796992481	NPAR
749.5999755859375	105	26447.12800925926	1	0	0	NPAR
729.70001220703125	105	26447.130439814813	1	0	0	NPAR
709.79998779296875	115	26447.132997685185	1	0	0	NPAR
689.5999755859375	120	26447.13570601852	1	0	0	NPAR
670	100	26447.138252314813	1	0	0	NPAR
650.0999755859375	105	26447.140625	1	0	0	NPAR
629.9000244140625	110	26447.143113425926	1	0	0	NPAR
609.70001220703125	115	26447.145717592593	1	4	0.049689440993788817	NPAR
590	115	26447.14837962963	1	0	0	NPAR
570.5999755859375	115	26447.15105324074	1	1	0.012422360248447204	NPAR
549.70001220703125	100	26447.153530092593	1	1	0.014285714285714285	NPAR
530	100	26447.155844907407	1	2	0.02857142857142857	NPAR
509.8999938964844	110	26447.158275462964	1	0	0	NPAR
494.6000061035156	186	26447.160208333335	1	1	0.007680491551459294	NPAR
484.8999938964844	204	26447.161458333332	1	2	0.01400560224089636	NPAR
474.8999938964844	206	26447.162789351853	1	1	0.006934812760055479	NPAR
465	210	26447.164155092592	1	2	0.013605442176870748	NPAR
455	206	26447.16553240741	1	1	0.006934812760055479	NPAR
445	214	26447.166921296295	1	1	0.006675567423230976	NPAR
435.1000061035156	178	26447.168217592593	1	2	0.01605136436597111	NPAR
424.8999938964844	172	26447.169386574074	1	0	0	NPAR
415.1000061035156	180	26447.170520833333	1	2	0.015873015873015876	NPAR
405	184	26447.17170138889	1	1	0.007763975155279504	NPAR
394.79998779296875	180	26447.172905092593	1	3	0.02380952380952381	NPAR
384.8999938964844	178	26447.174108796295	1	3	0.024077046548956663	NPAR
374.8999938964844	184	26447.17533564815	1	1	0.007763975155279504	NPAR
365	182	26447.176585648147	1	2	0.015698587127158558	NPAR
354.8999938964844	196	26447.17784722222	1	1	0.00728862973760933	NPAR
345	186	26447.179108796296	1	1	0.007680491551459294	NPAR
334.8999938964844	192	26447.18037037037	1	0	0	NPAR
325	194	26447.181655092594	1	1	0.007363770250368189	NPAR
315	192	26447.182974537038	1	5	0.03720238095238096	NPAR
305	192	26447.18429398148	1	4	0.029761904761904767	NPAR
294.79998779296875	202	26447.185636574075	1	2	0.014144271570014147	NPAR
285	200	26447.186979166665	1	2	0.014285714285714285	NPAR
274.8999938964844	208	26447.18835648148	1	5	0.034340659340659344	NPAR
265.20001220703125	198	26447.189768518518	1	3	0.021645021645021648	NPAR
254.89999389648438	164	26447.191030092592	1	3	0.02613240418118467	NPAR
244.89999389648438	174	26447.192210648147	1	2	0.016420361247947456	NPAR
235	174	26447.193414351852	1	3	0.024630541871921183	NPAR
225	174	26447.194641203703	1	4	0.03284072249589491	NPAR
214.89999389648438	174	26447.195891203704	1	5	0.041050903119868636	NPAR
205	170	26447.19715277778	1	5	0.04201680672268908	NPAR
195	184	26447.198449074072	1	3	0.02329192546583851	NPAR
185	174	26447.19976851852	1	9	0.07389162561576355	NPAR
175.10000610351562	170	26447.20111111111	1	8	0.06722689075630253	NPAR
164.8000030517578	168	26447.20252314815	1	15	0.12755102040816327	NPAR
155.1999969482422	158	26447.203900462962	1	7	0.06329113924050633	NPAR
144.89999389648438	130	26447.20517361111	1	7	0.07692307692307693	NPAR
135	128	26447.20633101852	1	8	0.08928571428571429	NPAR
124.9000015258789	138	26447.207511574074	1	3	0.031055900621118016	NPAR
115	144	26447.20875	1	2	0.01984126984126984	NPAR
105	136	26447.209976851853	1	3	0.03151260504201681	NPAR
97.9000015258789	60	26447.210833333334	1	3	0.07142857142857142	NPAR
93.4000015258789	70	26447.211400462962	1	3	0.061224489795918366	NPAR
88.30000305175781	74	26447.212048611113	1	0	0	NPAR
83.4000015258789	76	26447.212719907406	1	1	0.01879699248120301	NPAR
78.30000305175781	74	26447.213368055556	1	0	0	NPAR
73.30000305175781	74	26447.214027777776	1	0	0	NPAR
68.5	68	26447.214675925927	1	1	0.02100840336134454	NPAR
63.5	70	26447.2153125	1	3	0.061224489795918366	NPAR
58.5	72	26447.215983796297	1	3	0.05952380952380953	NPAR
53.400001525878906	72	26447.216689814813	1	2	0.03968253968253968	NPAR
48.400001525878906	70	26447.21738425926	1	5	0.10204081632653061	NPAR
43.70000076293945	62	26447.218020833334	1	3	0.06912442396313365	NPAR
38.599998474121094	60	26447.21859953704	1	5	0.11904761904761904	NPAR
33.5	54	26447.219155092593	1	4	0.10582010582010583	NPAR
28.5	52	26447.219699074074	1	4	0.10989010989010989	NPAR
23.399999618530273	50	26447.22021990741	1	4	0.11428571428571428	NPAR
18.399999618530273	50	26447.220717592594	1	4	0.11428571428571428	NPAR
13.399999618530273	50	26447.221203703702	1	5	0.14285714285714285	NPAR
8.199999809265137	58	26447.221724537038	1	1	0.024630541871921187	NPAR
3.4000000953674316	72	26447.222349537038	1	9	0.17857142857142858	NPAR
0.800000011920929	6	26447.222719907408	1	1	0.23809523809523814	NPAR
2.299999952316284	186	26447.228877314814	1	14	0.10752688172043012	NPAR
0.8999999761581421	6	26447.22976851852	1	3	0.7142857142857144	NPAR
975.20001220703125	20	26447.648020833334	2	0	0	PAR
982.29998779296875	20	26447.731354166666	2	0	0	PAR
983.5999755859375	20	26447.8146875	2	0	0	PAR
988.70001220703125	20	26447.898020833334	2	0	0	PAR
985.5999755859375	20	26447.981354166666	2	0	0	PAR
991.4000244140625	20	26448.0646875	2	0	0	PAR
991.79998779296875	20	26448.148020833334	2	0	0	PAR
993.0999755859375	20	26448.231354166666	2	0	0	PAR
993.5999755859375	20	26448.3146875	2	1	0.07142857142857142	PAR
994.29998779296875	20	26448.398020833334	2	0	0	PAR
990	160	26448.47258101852	2	1	0.008928571428571428	NPAR
969.5999755859375	105	26448.475601851853	2	0	0	NPAR
950	110	26448.47809027778	2	2	0.025974025974025976	NPAR
930.20001220703125	120	26448.480752314816	2	0	0	NPAR
910.5	110	26448.483414351853	2	0	0	NPAR
889.79998779296875	100	26448.48584490741	2	0	0	NPAR
869.9000244140625	105	26448.488217592592	2	0	0	NPAR
849.79998779296875	110	26448.490706018518	2	0	0	NPAR
829.9000244140625	110	26448.493252314816	2	0	0	NPAR
809.70001220703125	120	26448.495914351854	2	0	0	NPAR
790.4000244140625	105	26448.498518518518	2	0	0	NPAR
770.20001220703125	100	26448.500891203705	2	0	0	NPAR
749.9000244140625	105	26448.503263888888	2	1	0.013605442176870748	NPAR
729.9000244140625	105	26448.505706018517	2	0	0	NPAR
710.0999755859375	110	26448.508194444443	2	0	0	NPAR
690.20001220703125	115	26448.510787037038	2	0	0	NPAR
670.4000244140625	115	26448.513449074075	2	0	0	NPAR
649.79998779296875	95	26448.51587962963	2	0	0	NPAR
629.9000244140625	105	26448.518194444445	2	0	0	NPAR
609.70001220703125	105	26448.520625	2	0	0	NPAR
590.0999755859375	110	26448.523113425927	2	0	0	NPAR
569.9000244140625	120	26448.525775462964	2	1	0.011904761904761904	NPAR
550	115	26448.52849537037	2	1	0.012422360248447204	NPAR
529.79998779296875	95	26448.530925925927	2	0	0	NPAR
