wmo	size_class	max_abundance	standard_dev	time_max_abundance	depth	r2	date	xmax	xmin	DOY
6904240	NP_Size_102	0.3813039115365966	26.75147287043661	176.52455612810638	50	0.8536749817541784	2022-06-26	190	164	177
6904240	NP_Size_102	0.19161288813054309	23.82470741582163	189.04562874990353	70	0.747645936037726	2022-07-09	201	178	190
6904240	NP_Size_128	0.30420190763602917	26.977781603584344	175.1843299777379	50	0.8653852019213156	2022-06-25	189	162	176
6904240	NP_Size_128	0.14751921268459772	20.981419635133133	188.93831416512475	70	0.7481520168034638	2022-07-08	200	179	189
6904240	NP_Size_128	0.11937536400535224	58.119285436474485	166.90823494109003	90	0.7139302691377429	2022-06-16	196	138	167
6904240	NP_Size_161	0.22353121788364552	29.48288504968001	172.92102171324666	50	0.8740126199339621	2022-06-22	188	159	173
6904240	NP_Size_161	0.1037991136445963	21.35612264072007	188.58563918008838	70	0.7053612538431527	2022-07-08	200	178	189
6904240	NP_Size_161	0.08035165989037209	61.565241460499564	165.9630120284852	90	0.6757259612180628	2022-06-15	197	136	166
6904240	NP_Size_203	0.25165855670547777	38.15741492193007	164.28163331173238	50	0.8843309666353844	2022-06-14	184	146	165
6904240	NP_Size_203	0.10465735196988302	24.409243448511027	187.99232619621236	70	0.6530425336542729	2022-07-07	201	176	188
6904240	NP_Size_203	0.07832881225880065	66.6241449104133	165.2035259585904	90	0.6565425444943579	2022-06-15	199	132	166
6904240	NP_Size_203	0.03192160449706855	104.50966927619585	164.49956583264782	170	0.3951809308121286	2022-06-14	217	113	165
6904240	NP_Size_203	0.026453931808196197	75.97583550816445	185.6893200913567	190	0.4315854806298036	2022-07-05	224	148	186
6904240	NP_Size_256	0.27991198542894724	31.174359854864246	171.97891772156663	50	0.9005847487465553	2022-06-21	188	157	172
6904240	NP_Size_256	0.13479358029199182	21.706274654694166	187.80244969927557	70	0.6621002593937011	2022-07-07	199	177	188
6904240	NP_Size_256	0.0945996771553509	62.53601114464605	168.60534897327574	90	0.6862003267719727	2022-06-18	200	138	169
6904240	NP_Size_256	0.035074902096072905	119.52968522710741	171.35220190977225	170	0.24230598127715486	2022-06-21	232	112	172
6904240	NP_Size_256	0.029912113253801012	73.05835177515716	195.50486594851327	190	0.3081730338342493	2022-07-15	233	159	196
6904240	NP_Size_323	0.38462375988351716	22.158138466373643	178.59208077786883	50	0.9446977304434572	2022-06-28	190	168	179
6904240	NP_Size_323	0.22462717195086546	15.834960812449083	187.71745499868896	70	0.8119235738895105	2022-07-07	196	180	188
6904240	NP_Size_323	0.13715410708234732	28.901954499993664	187.19570045712976	90	0.6769780390549485	2022-07-07	202	173	188
6904240	NP_Size_323	0.046583774815200346	140.3773936532274	164.2287329722551	170	0.15275013532540604	2022-06-14	235	95	165
6904240	NP_Size_323	0.039529446112934526	79.3801129956507	199.55338071750427	190	0.17480739815505686	2022-07-19	240	160	200
6904240	NP_Size_406	0.5532273867354962	18.964355364276337	180.776945047596	50	0.9706849509889072	2022-06-30	191	172	181
6904240	NP_Size_406	0.36461410040269965	13.417708217872415	187.11194728976662	70	0.8822472366912248	2022-07-07	194	181	188
6904240	NP_Size_406	0.2196860523856737	21.10826439192805	188.3339362377325	90	0.7725684406058203	2022-07-08	199	178	189
6904240	NP_Size_406	0.17484561920901284	54.052188103883324	173.259228651445	110	0.6981612904427518	2022-06-23	201	147	174
6904240	NP_Size_406	0.13112785257287607	56.82680165307711	183.14392282504954	130	0.3413588373241345	2022-07-03	212	155	184
6904240	NP_Size_406	0.08560931221747095	153.42947990204038	174.4547805242582	150	0.05451181544611905	2022-06-24	252	98	175
6904240	NP_Size_406	0.06816270123787327	110.70623667625868	210.42192256446347	170	0.03928693456272303	2022-07-30	266	156	211
6904240	NP_Size_406	0.06724626574902048	53.08760283772552	207.5890371908948	190	0.3371918711713118	2022-07-27	235	182	208
6904240	NP_Size_512	0.6654351351638289	16.160334253669888	182.88606145032384	50	0.9662461205785688	2022-07-02	191	175	183
6904240	NP_Size_512	0.5174029399838164	11.08532892494836	186.67502132909033	70	0.9204832889912296	2022-07-06	193	182	187
6904240	NP_Size_512	0.2948646693938848	17.00021527368339	188.178054792672	90	0.849993162518549	2022-07-08	197	180	189
6904240	NP_Size_512	0.21761616229373174	27.848359931806556	189.30690985715273	110	0.6979437429750184	2022-07-09	204	176	190
6904240	NP_Size_512	0.23297399032195165	22.42492169268149	194.19562629087505	130	0.5937259485464105	2022-07-14	206	183	195
6904240	NP_Size_512	0.12605550057245665	56.5649597810996	201.02169366002448	150	0.1456806535366193	2022-07-21	230	173	202
6904240	NP_Size_512	0.09797275668695013	51.2547337690185	210.30270799743224	190	0.3177366982007741	2022-07-30	236	185	211
6904240	NP_Size_645	0.6813477051390388	15.290696853175579	181.56383690606256	50	0.948138313543262	2022-07-01	190	174	182
6904240	NP_Size_645	0.5976452463795111	9.422490625572523	186.2649252785514	70	0.9415374069719089	2022-07-06	191	182	187
6904240	NP_Size_645	0.4168549960968355	11.434224599455773	187.26527273694768	90	0.9070900029654104	2022-07-07	193	182	188
6904240	NP_Size_645	0.279196855311966	18.672210288523473	193.00339812989768	110	0.8960874545579267	2022-07-13	203	184	194
6904240	NP_Size_645	0.3142516960661549	17.76833563482815	194.03977292382132	130	0.8411142103369197	2022-07-14	203	186	195
6904240	NP_Size_645	0.2627590890247523	18.21358458930318	195.5422371278949	150	0.6178563031029765	2022-07-15	205	187	196
6904240	NP_Size_645	0.19046060504243598	20.65120005315141	198.9233585993584	170	0.06674432640146855	2022-07-18	210	189	199
6904240	NP_Size_645	0.1760665706501945	20.51127285321795	199.53658562127268	190	0.46131209145242646	2022-07-19	210	190	200
6904240	NP_Size_813	0.6831390942023989	18.107661244612235	169.13313183566382	30	0.9858614166134869	2022-06-19	179	161	170
6904240	NP_Size_813	0.5763019102044948	16.10806664295831	178.45146669716544	50	0.9612002681300088	2022-06-28	187	171	179
6904240	NP_Size_813	0.5802321061721952	8.094459511107063	185.87865834913694	70	0.9584946930798861	2022-07-05	190	182	186
6904240	NP_Size_813	0.5220883550996754	7.469985962425457	186.29976633143852	90	0.9435227852473399	2022-07-06	191	183	187
6904240	NP_Size_813	0.28820655678011	13.17018343432369	188.74139757741403	110	0.7690245391807821	2022-07-08	196	183	189
