dates	cp	slope	colour	group	diff_jump	park_depth	wmo	cycle
2022-12-09T17:27:38Z	0.1351249635463459	0.16993889213975463	jump	group_47	0.0035403935862448888	200 m	1902578	27
2022-12-09T17:57:38Z	0.13866535713259082	0.16993889213975596	jump	last_group	0.0035403935862449165	200 m	1902578	27
2022-12-18T20:54:11Z	0.10721966333646094	0.4137767495215811	jump	group_18	0.008620348948366274	200 m	1902578	28
2022-12-19T12:24:11Z	0.11906298811703278	0.4150023630696555	jump	group_45	0.008645882563951157	200 m	1902578	28
2022-12-19T15:24:11Z	0.1267639370703704	0.2465094224034949	jump	last_group	0.005135612966739478	200 m	1902578	28
2022-12-28T19:16:49Z	0.09158903616581092	0.09166865774514242	jump	group_25	0.0019097637030238007	200 m	1902578	29
2022-12-29T05:16:49Z	0.10306680587762188	0.3368690552343376	jump	last_group	0.007018105317382034	200 m	1902578	29
2023-01-08T02:58:00Z	0.09859931438809466	0.19890825383407693	jump	group_22	0.004143921954876603	200 m	1902578	30
2023-01-08T04:28:00Z	0.10019427433585888	0.04593850961022893	jump	group_26	9.570522835464362e-4	200 m	1902578	30
2023-01-08T06:28:00Z	0.10115155566147609	0.04594950362962579	jump	last_group	9.572813256172041e-4	200 m	1902578	30
2022-06-01T17:41:16Z	0.5763547017215973	0.551229519127375	jump	group_20	0.011483948315153647	500 m	1902578	3
2022-06-01T19:11:16Z	0.6120933989224324	1.6464423678445017	jump	last_group	0.034300882663427124	500 m	1902578	3
2022-06-04T19:41:10Z	0.09190741878228816	0.21384250420563886	jump	last_group	0.00445505217095081	500 m	1902578	5
2022-06-06T23:25:55Z	0.02716320004159927	0.24045087676145574	jump	group_12	0.005009393265863662	500 m	1902578	6
2022-06-07T01:55:55Z	0.03877150655337791	0.4519066890875505	jump	group_27	0.00941472268932397	500 m	1902578	6
2022-06-07T09:25:55Z	0.05388130653024131	0.5140160550369188	jump	group_41	0.010708667813269145	500 m	1902578	6
2022-06-07T16:25:55Z	0.06430250217729408	0.182048054093866	jump	group_42	0.003792667793622209	500 m	1902578	6
2022-06-07T16:55:55Z	0.06683294667098315	0.12146133569707528	jump	group_43	0.0025304444936890685	500 m	1902578	6
2022-06-07T17:25:55Z	0.15836426264607012	4.393503166804174	jump	group_51	0.09153131597508697	500 m	1902578	6
2022-06-07T21:25:54Z	0.165492656594207	0.15560419037926107	jump	group_52	0.003241753966234606	500 m	1902578	6
2022-06-07T21:55:54Z	0.169061623047467	0.17131038975647958	jump	group_58	0.003568966453259992	500 m	1902578	6
2022-06-08T00:55:54Z	0.1944606012548869	1.0632814860678346	jump	group_74	0.022151697626413225	500 m	1902578	6
2022-06-08T08:55:54Z	0.21312391837756092	0.4563001533043595	jump	group_75	0.009506253193840825	500 m	1902578	6
2022-06-08T09:25:54Z	0.22166601607973907	0.410020689704551	jump	group_113	0.008542097702178147	500 m	1902578	6
2022-06-09T04:25:52Z	0.2500513154930418	0.23834157072332737	jump	group_115	0.004965449390069321	500 m	1902578	6
2022-06-09T05:25:52Z	0.25369656656343115	0.15907208863513575	jump	last_group	0.0033140018465653287	500 m	1902578	6
2022-06-16T23:38:32Z	0.05388130653024131	1.3125419441578527	jump	group_44	0.027344623836621933	500 m	1902578	7
2022-06-17T19:08:32Z	0.07348298976543706	0.16726726595471117	jump	group_45	0.0034847347073898166	500 m	1902578	7
2022-06-17T19:38:32Z	0.07728798410705387	0.18263972839760687	jump	group_51	0.0038049943416168103	500 m	1902578	7
2022-06-17T22:38:31Z	0.0820493226052075	0.12192411903606158	jump	group_57	0.0025400858132512832	500 m	1902578	7
