depth	nb_image	juld	cycle	nb_object	conc_object	PhaseName	wmo	date
194.89999389648438	164	26705.12945601852	1	1	0.008710801393728223	NPAR	1902593	2023-02-12T03:06:25Z
184.89999389648438	168	26705.130578703705	1	2	0.017006802721088437	NPAR	1902593	2023-02-12T03:08:02Z
175	168	26705.131724537037	1	0	0	NPAR	1902593	2023-02-12T03:09:41Z
165	176	26705.132881944446	1	0	0	NPAR	1902593	2023-02-12T03:11:21Z
154.89999389648438	190	26705.13412037037	1	0	0	NPAR	1902593	2023-02-12T03:13:08Z
144.8000030517578	206	26705.135474537037	1	0	0	NPAR	1902593	2023-02-12T03:15:05Z
135.1999969482422	232	26705.136921296296	1	0	0	NPAR	1902593	2023-02-12T03:17:10Z
125.19999694824219	204	26705.13832175926	1	0	0	NPAR	1902593	2023-02-12T03:19:11Z
115	180	26705.13954861111	1	0	0	NPAR	1902593	2023-02-12T03:20:57Z
104.9000015258789	186	26705.140717592592	1	0	0	NPAR	1902593	2023-02-12T03:22:38Z
98	76	26705.141550925928	1	0	0	NPAR	1902593	2023-02-12T03:23:50Z
93.5999984741211	94	26705.14209490741	1	0	0	NPAR	1902593	2023-02-12T03:24:37Z
88.5999984741211	102	26705.142719907406	1	0	0	NPAR	1902593	2023-02-12T03:25:31Z
83.5	100	26705.143368055556	1	0	0	NPAR	1902593	2023-02-12T03:26:27Z
78.5	102	26705.144016203703	1	0	0	NPAR	1902593	2023-02-12T03:27:23Z
73.5	104	26705.1446875	1	0	0	NPAR	1902593	2023-02-12T03:28:21Z
68.4000015258789	112	26705.14537037037	1	0	0	NPAR	1902593	2023-02-12T03:29:20Z
63.5	106	26705.146064814813	1	0	0	NPAR	1902593	2023-02-12T03:30:20Z
58.400001525878906	108	26705.146747685187	1	0	0	NPAR	1902593	2023-02-12T03:31:19Z
53.29999923706055	110	26705.14744212963	1	0	0	NPAR	1902593	2023-02-12T03:32:19Z
48.5	106	26705.148125	1	1	0.013477088948787064	NPAR	1902593	2023-02-12T03:33:18Z
43.5	98	26705.148773148147	1	0	0	NPAR	1902593	2023-02-12T03:34:14Z
38.5	96	26705.149386574074	1	0	0	NPAR	1902593	2023-02-12T03:35:07Z
33.5	88	26705.14996527778	1	0	0	NPAR	1902593	2023-02-12T03:35:57Z
28.399999618530273	90	26705.150532407406	1	0	0	NPAR	1902593	2023-02-12T03:36:46Z
23.5	88	26705.151099537037	1	0	0	NPAR	1902593	2023-02-12T03:37:35Z
18.5	78	26705.151631944445	1	0	0	NPAR	1902593	2023-02-12T03:38:21Z
13.399999618530273	78	26705.152141203704	1	0	0	NPAR	1902593	2023-02-12T03:39:05Z
8.399999618530273	84	26705.152673611112	1	0	0	NPAR	1902593	2023-02-12T03:39:51Z
3.200000047683716	130	26705.153391203705	1	0	0	NPAR	1902593	2023-02-12T03:40:53Z
0.699999988079071	10	26705.156747685185	1	0	0	NPAR	1902593	2023-02-12T03:45:43Z
971.9000244140625	20	26705.561747685184	2	0	0	PAR	1902593	2023-02-12T13:28:55Z
995.0999755859375	20	26705.64508101852	2	0	0	PAR	1902593	2023-02-12T15:28:55Z
1006.7999877929688	20	26705.728414351852	2	0	0	PAR	1902593	2023-02-12T17:28:55Z
1004.7000122070312	20	26705.81173611111	2	0	0	PAR	1902593	2023-02-12T19:28:54Z
1005	20	26705.89508101852	2	0	0	PAR	1902593	2023-02-12T21:28:55Z
1002.5	20	26705.978414351852	2	0	0	PAR	1902593	2023-02-12T23:28:55Z
1003.5999755859375	20	26706.061747685184	2	0	0	PAR	1902593	2023-02-13T01:28:55Z
1005.2000122070312	20	26706.145069444443	2	0	0	PAR	1902593	2023-02-13T03:28:54Z
1007.2000122070312	150	26706.156319444446	2	0	0	NPAR	1902593	2023-02-13T03:45:06Z
995	60	26706.158668981483	2	0	0	NPAR	1902593	2023-02-13T03:48:29Z
979.9000244140625	100	26706.160520833335	2	0	0	NPAR	1902593	2023-02-13T03:51:09Z
960	110	26706.162951388887	2	0	0	NPAR	1902593	2023-02-13T03:54:39Z
939.70001220703125	115	26706.165555555555	2	0	0	NPAR	1902593	2023-02-13T03:58:24Z
919.9000244140625	115	26706.168217592593	2	0	0	NPAR	1902593	2023-02-13T04:02:14Z
900.5999755859375	115	26706.17087962963	2	0	0	NPAR	1902593	2023-02-13T04:06:04Z
879.9000244140625	100	26706.173368055555	2	0	0	NPAR	1902593	2023-02-13T04:09:39Z
859.79998779296875	110	26706.17579861111	2	0	0	NPAR	1902593	2023-02-13T04:13:09Z
839.5999755859375	110	26706.178368055556	2	0	0	NPAR	1902593	2023-02-13T04:16:51Z
819.5999755859375	110	26706.180891203705	2	0	0	NPAR	1902593	2023-02-13T04:20:29Z
799.79998779296875	115	26706.18349537037	2	0	0	NPAR	1902593	2023-02-13T04:24:14Z
779.70001220703125	120	26706.18621527778	2	0	0	NPAR	1902593	2023-02-13T04:28:09Z
760.0999755859375	100	26706.188761574074	2	0	0	NPAR	1902593	2023-02-13T04:31:49Z
739.79998779296875	105	26706.191134259258	2	1	0.013605442176870748	NPAR	1902593	2023-02-13T04:35:14Z
719.70001220703125	105	26706.193564814814	2	1	0.013605442176870748	NPAR	1902593	2023-02-13T04:38:44Z
699.9000244140625	110	26706.19605324074	2	0	0	NPAR	1902593	2023-02-13T04:42:19Z
680.0999755859375	110	26706.198599537038	2	1	0.012987012987012988	NPAR	1902593	2023-02-13T04:45:59Z
660.20001220703125	115	26706.201203703702	2	0	0	NPAR	1902593	2023-02-13T04:49:44Z
640	120	26706.203923611112	2	0	0	NPAR	1902593	2023-02-13T04:53:39Z
620.29998779296875	110	26706.20658564815	2	0	0	NPAR	1902593	2023-02-13T04:57:29Z
599.70001220703125	110	26706.209131944444	2	0	0	NPAR	1902593	2023-02-13T05:01:09Z
579.70001220703125	120	26706.21179398148	2	0	0	NPAR	1902593	2023-02-13T05:04:59Z
559.5999755859375	100	26706.214351851853	2	0	0	NPAR	1902593	2023-02-13T05:08:40Z
539.9000244140625	100	26706.21667824074	2	1	0.014285714285714285	NPAR	1902593	2023-02-13T05:12:01Z
519.9000244140625	110	26706.219085648147	2	0	0	NPAR	1902593	2023-02-13T05:15:29Z
499.5	110	26706.221631944445	2	0	0	NPAR	1902593	2023-02-13T05:19:09Z
479.79998779296875	115	26706.22423611111	2	0	0	NPAR	1902593	2023-02-13T05:22:54Z
460.6000061035156	110	26706.226840277777	2	0	0	NPAR	1902593	2023-02-13T05:26:39Z
444.6000061035156	185	26706.22880787037	2	0	0	NPAR	1902593	2023-02-13T05:29:29Z
434.79998779296875	196	26706.23008101852	2	0	0	NPAR	1902593	2023-02-13T05:31:19Z
424.8999938964844	196	26706.231400462962	2	1	0.00728862973760933	NPAR	1902593	2023-02-13T05:33:13Z
414.8999938964844	208	26706.232766203702	2	0	0	NPAR	1902593	2023-02-13T05:35:11Z
405.20001220703125	172	26706.23408564815	2	0	0	NPAR	1902593	2023-02-13T05:37:05Z
394.79998779296875	168	26706.235277777778	2	0	0	NPAR	1902593	2023-02-13T05:38:48Z
385	170	26706.236435185187	2	0	0	NPAR	1902593	2023-02-13T05:40:28Z
375	174	26706.23761574074	2	0	0	NPAR	1902593	2023-02-13T05:42:10Z
365	174	26706.23883101852	2	1	0.008210180623973728	NPAR	1902593	2023-02-13T05:43:55Z
355	168	26706.240046296298	2	0	0	NPAR	1902593	2023-02-13T05:45:40Z
345	178	26706.241261574072	2	0	0	NPAR	1902593	2023-02-13T05:47:25Z
335	180	26706.242488425927	2	0	0	NPAR	1902593	2023-02-13T05:49:11Z
325	176	26706.243738425925	2	0	0	NPAR	1902593	2023-02-13T05:50:59Z
315	180	26706.245	2	1	0.007936507936507938	NPAR	1902593	2023-02-13T05:52:48Z
305	186	26706.246284722223	2	1	0.007680491551459294	NPAR	1902593	2023-02-13T05:54:39Z
294.8999938964844	202	26706.247627314813	2	0	0	NPAR	1902593	2023-02-13T05:56:35Z
285.20001220703125	204	26706.248993055557	2	0	0	NPAR	1902593	2023-02-13T05:58:33Z
275	176	26706.250277777777	2	0	0	NPAR	1902593	2023-02-13T06:00:24Z
264.8999938964844	188	26706.25152777778	2	1	0.007598784194528876	NPAR	1902593	2023-02-13T06:02:12Z
255	202	26706.252881944445	2	0	0	NPAR	1902593	2023-02-13T06:04:09Z
245.10000610351562	206	26706.254305555554	2	0	0	NPAR	1902593	2023-02-13T06:06:12Z
235	184	26706.255648148148	2	0	0	NPAR	1902593	2023-02-13T06:08:08Z
225.10000610351562	180	26706.25689814815	2	1	0.007936507936507938	NPAR	1902593	2023-02-13T06:09:56Z
214.89999389648438	176	26706.258159722223	2	2	0.016233766233766236	NPAR	1902593	2023-02-13T06:11:45Z
204.89999389648438	178	26706.259444444444	2	1	0.008025682182985555	NPAR	1902593	2023-02-13T06:13:36Z
194.8000030517578	196	26706.260763888888	2	1	0.00728862973760933	NPAR	1902593	2023-02-13T06:15:30Z
184.89999389648438	196	26706.26210648148	2	0	0	NPAR	1902593	2023-02-13T06:17:26Z
174.89999389648438	214	26706.26349537037	2	2	0.013351134846461951	NPAR	1902593	2023-02-13T06:19:26Z
165	178	26706.264826388888	2	1	0.008025682182985555	NPAR	1902593	2023-02-13T06:21:21Z
155	184	26706.26607638889	2	1	0.007763975155279504	NPAR	1902593	2023-02-13T06:23:09Z
145	206	26706.267418981482	2	1	0.006934812760055479	NPAR	1902593	2023-02-13T06:25:05Z
135.10000610351562	194	26706.268761574072	2	0	0	NPAR	1902593	2023-02-13T06:27:01Z
124.9000015258789	200	26706.270046296297	2	0	0	NPAR	1902593	2023-02-13T06:28:52Z
115.0999984741211	218	26706.27138888889	2	0	0	NPAR	1902593	2023-02-13T06:30:48Z
104.9000015258789	206	26706.272766203703	2	0	0	NPAR	1902593	2023-02-13T06:32:47Z
97.9000015258789	86	26706.273703703704	2	0	0	NPAR	1902593	2023-02-13T06:34:08Z
93.5	98	26706.274317129628	2	0	0	NPAR	1902593	2023-02-13T06:35:01Z
88.5	98	26706.274953703705	2	0	0	NPAR	1902593	2023-02-13T06:35:56Z
83.5	88	26706.275543981483	2	0	0	NPAR	1902593	2023-02-13T06:36:47Z
78.4000015258789	98	26706.27613425926	2	0	0	NPAR	1902593	2023-02-13T06:37:38Z
73.4000015258789	112	26706.276782407407	2	0	0	NPAR	1902593	2023-02-13T06:38:34Z
68.4000015258789	104	26706.27747685185	2	0	0	NPAR	1902593	2023-02-13T06:39:34Z
63.5	102	26706.278125	2	0	0	NPAR	1902593	2023-02-13T06:40:30Z
58.5	92	26706.278738425925	2	0	0	NPAR	1902593	2023-02-13T06:41:23Z
53.400001525878906	100	26706.279351851852	2	1	0.014285714285714285	NPAR	1902593	2023-02-13T06:42:16Z
48.5	108	26706.280011574076	2	0	0	NPAR	1902593	2023-02-13T06:43:13Z
43.400001525878906	94	26706.280659722222	2	0	0	NPAR	1902593	2023-02-13T06:44:09Z
38.5	102	26706.28127314815	2	0	0	NPAR	1902593	2023-02-13T06:45:02Z
33.599998474121094	84	26706.281875	2	0	0	NPAR	1902593	2023-02-13T06:45:54Z
28.5	98	26706.282465277778	2	0	0	NPAR	1902593	2023-02-13T06:46:45Z
23.399999618530273	100	26706.283101851852	2	0	0	NPAR	1902593	2023-02-13T06:47:40Z
18.399999618530273	106	26706.28377314815	2	0	0	NPAR	1902593	2023-02-13T06:48:38Z
13.5	106	26706.28447916667	2	0	0	NPAR	1902593	2023-02-13T06:49:39Z
8.399999618530273	106	26706.285185185185	2	0	0	NPAR	1902593	2023-02-13T06:50:40Z
