depth	nb_image	juld	cycle	nb_calanoid	conc_calanoid	PhaseName
972.20001220703125	20	26438.899641203705	1	0	0	PAR
977.5	20	26438.982962962964	1	0	0	PAR
981.79998779296875	20	26439.066296296296	1	0	0	PAR
985	20	26439.149629629628	1	0	0	PAR
985.0999755859375	120	26439.188252314816	1	0	0	NPAR
970.20001220703125	110	26439.190868055557	1	1	0.012987012987012988	NPAR
949.79998779296875	115	26439.19347222222	1	1	0.012422360248447204	NPAR
929.70001220703125	115	26439.19613425926	1	0	0	NPAR
910.29998779296875	115	26439.198796296296	1	0	0	NPAR
889.5	100	26439.20128472222	1	0	0	NPAR
869.5999755859375	100	26439.20359953704	1	0	0	NPAR
850.0999755859375	105	26439.205972222222	1	0	0	NPAR
829.79998779296875	115	26439.208518518517	1	1	0.012422360248447204	NPAR
809.70001220703125	115	26439.211180555554	1	0	0	NPAR
790.4000244140625	115	26439.21384259259	1	1	0.012422360248447204	NPAR
769.9000244140625	100	26439.216331018517	1	0	0	NPAR
749.70001220703125	100	26439.218645833334	1	2	0.02857142857142857	NPAR
729.79998779296875	105	26439.221018518518	1	0	0	NPAR
709.9000244140625	105	26439.223449074074	1	0	0	NPAR
689.9000244140625	110	26439.2259375	1	0	0	NPAR
669.79998779296875	110	26439.228483796298	1	1	0.012987012987012988	NPAR
649.9000244140625	115	26439.231087962962	1	0	0	NPAR
629.79998779296875	115	26439.23375	1	0	0	NPAR
609.79998779296875	115	26439.236412037037	1	0	0	NPAR
590	115	26439.239074074074	1	0	0	NPAR
570.20001220703125	120	26439.24179398148	1	0	0	NPAR
550.79998779296875	100	26439.24434027778	1	0	0	NPAR
530	95	26439.246608796297	1	0	0	NPAR
510.1000061035156	95	26439.248796296295	1	1	0.015037593984962405	NPAR
494.6000061035156	181	26439.250532407408	1	0	0	NPAR
484.8999938964844	190	26439.251712962963	1	0	0	NPAR
474.8999938964844	198	26439.25292824074	1	0	0	NPAR
464.8999938964844	196	26439.254178240742	1	0	0	NPAR
455.1000061035156	202	26439.25545138889	1	0	0	NPAR
445.1000061035156	220	26439.25679398148	1	2	0.012987012987012988	NPAR
435	232	26439.258229166666	1	2	0.012315270935960593	NPAR
425	182	26439.259560185186	1	2	0.015698587127158558	NPAR
414.8999938964844	180	26439.260729166668	1	2	0.015873015873015876	NPAR
405	188	26439.261921296296	1	3	0.022796352583586626	NPAR
395	194	26439.26315972222	1	2	0.014727540500736378	NPAR
384.8999938964844	202	26439.264444444445	1	2	0.014144271570014147	NPAR
374.8999938964844	214	26439.26578703704	1	1	0.006675567423230976	NPAR
365.20001220703125	210	26439.267141203705	1	4	0.027210884353741496	NPAR
354.8999938964844	180	26439.268391203703	1	1	0.007936507936507938	NPAR
344.8999938964844	188	26439.269571759258	1	0	0	NPAR
334.8999938964844	194	26439.270810185186	1	4	0.029455081001472757	NPAR
324.8999938964844	196	26439.272083333333	1	3	0.02186588921282799	NPAR
315	206	26439.273402777777	1	5	0.0346740638002774	NPAR
304.8999938964844	218	26439.27480324074	1	1	0.006553079947575361	NPAR
295	184	26439.27613425926	1	2	0.015527950310559008	NPAR
284.79998779296875	180	26439.27734953704	1	3	0.02380952380952381	NPAR
274.8999938964844	186	26439.278541666667	1	9	0.06912442396313365	NPAR
264.8999938964844	190	26439.27978009259	1	4	0.03007518796992481	NPAR
255	184	26439.281030092592	1	5	0.03881987577639752	NPAR
245.10000610351562	190	26439.28230324074	1	5	0.03759398496240601	NPAR
234.89999389648438	186	26439.283599537037	1	3	0.02304147465437788	NPAR
224.89999389648438	190	26439.28491898148	1	3	0.022556390977443608	NPAR
215	196	26439.28622685185	1	4	0.02915451895043732	NPAR
205	184	26439.28752314815	1	9	0.06987577639751553	NPAR
195	172	26439.288796296296	1	4	0.03322259136212625	NPAR
185.10000610351562	166	26439.29008101852	1	6	0.05163511187607574	NPAR
174.8000030517578	154	26439.29134259259	1	7	0.06493506493506494	NPAR
165	154	26439.292604166665	1	13	0.12059369202226346	NPAR
154.89999389648438	152	26439.293877314816	1	7	0.06578947368421054	NPAR
144.89999389648438	146	26439.29517361111	1	11	0.1076320939334638	NPAR
134.8000030517578	172	26439.2965625	1	7	0.058139534883720936	NPAR
125.19999694824219	150	26439.29795138889	1	9	0.08571428571428572	NPAR
114.80000305175781	136	26439.299247685187	1	9	0.09453781512605043	NPAR
105	132	26439.30048611111	1	3	0.03246753246753247	NPAR
97.9000015258789	60	26439.30138888889	1	4	0.09523809523809523	NPAR
93.5	72	26439.301979166667	1	1	0.01984126984126984	NPAR
88.5999984741211	72	26439.302627314813	1	3	0.05952380952380953	NPAR
83.5	72	26439.303275462964	1	1	0.01984126984126984	NPAR
78.4000015258789	70	26439.30392361111	1	2	0.04081632653061224	NPAR
73.4000015258789	68	26439.304560185185	1	0	0	NPAR
68.5	64	26439.305173611112	1	0	0	NPAR
63.5	66	26439.305787037036	1	0	0	NPAR
58.5	68	26439.30638888889	1	2	0.04201680672268908	NPAR
53.5	74	26439.30699074074	1	1	0.019305019305019305	NPAR
48.5	72	26439.307638888888	1	1	0.01984126984126984	NPAR
43.400001525878906	80	26439.308344907407	1	3	0.05357142857142857	NPAR
38.5	80	26439.309085648147	1	2	0.03571428571428571	NPAR
33.400001525878906	72	26439.30982638889	1	5	0.09920634920634921	NPAR
28.299999237060547	80	26439.310543981483	1	11	0.19642857142857142	NPAR
23.600000381469727	120	26439.311307870372	1	32	0.38095238095238093	NPAR
18.5	86	26439.312013888888	1	23	0.38205980066445183	NPAR
13.399999618530273	88	26439.312604166666	1	21	0.34090909090909094	NPAR
8.600000381469727	96	26439.31324074074	1	20	0.29761904761904767	NPAR
2.799999952316284	220	26439.314328703702	1	27	0.17532467532467533	NPAR
0.800000011920929	6	26439.315104166668	1	1	0.23809523809523814	NPAR
1	20	26439.320810185185	1	4	0.2857142857142857	NPAR
0.8999999761581421	4	26439.32087962963	1	0	0	NPAR
1.100000023841858	6	26439.32091435185	1	1	0.23809523809523814	NPAR
0.8999999761581421	2	26439.320949074074	1	1	0.7142857142857143	NPAR
1	4	26439.320972222224	1	2	0.7142857142857143	NPAR
0.800000011920929	6	26439.32101851852	1	4	0.9523809523809526	NPAR
971.5999755859375	20	26439.72679398148	2	0	0	PAR
985.5999755859375	20	26439.810127314813	2	0	0	PAR
988.29998779296875	20	26439.89346064815	2	0	0	PAR
991.29998779296875	20	26439.97679398148	2	0	0	PAR
994	20	26440.060127314813	2	0	0	PAR
995.79998779296875	20	26440.14346064815	2	0	0	PAR
994.70001220703125	20	26440.22679398148	2	0	0	PAR
997.79998779296875	20	26440.310127314813	2	0	0	PAR
999	20	26440.39346064815	2	0	0	PAR
993.79998779296875	195	26440.472986111112	2	0	0	NPAR
969.9000244140625	105	26440.47642361111	2	0	0	NPAR
950.20001220703125	115	26440.478958333333	2	1	0.012422360248447204	NPAR
930	120	26440.48167824074	2	0	0	NPAR
910.29998779296875	100	26440.48422453704	2	0	0	NPAR
890.29998779296875	100	26440.486539351852	2	1	0.014285714285714285	NPAR
870.20001220703125	105	26440.488912037035	2	0	0	NPAR
849.70001220703125	110	26440.491400462965	2	1	0.012987012987012988	NPAR
829.5	110	26440.49394675926	2	0	0	NPAR
809.79998779296875	115	26440.4965625	2	0	0	NPAR
790.29998779296875	105	26440.499097222222	2	0	0	NPAR
769.9000244140625	95	26440.501412037036	2	1	0.015037593984962405	NPAR
750.20001220703125	100	26440.50366898148	2	0	0	NPAR
730	105	26440.506041666667	2	0	0	NPAR
710	105	26440.508472222224	2	0	0	NPAR
689.9000244140625	115	26440.51101851852	2	0	0	NPAR
669.70001220703125	115	26440.513680555556	2	1	0.012422360248447204	NPAR
650.5999755859375	110	26440.516284722224	2	1	0.012987012987012988	NPAR
630.20001220703125	95	26440.518657407407	2	0	0	NPAR
609.9000244140625	105	26440.52097222222	2	1	0.013605442176870748	NPAR
589.5999755859375	105	26440.523402777777	2	0	0	NPAR
569.79998779296875	105	26440.525833333333	2	0	0	NPAR
550.0999755859375	110	26440.52832175926	2	0	0	NPAR
529.9000244140625	120	26440.530983796296	2	0	0	NPAR
510.20001220703125	105	26440.533587962964	2	0	0	NPAR
494.70001220703125	166	26440.535358796296	2	0	0	NPAR
485	184	26440.53646990741	2	0	0	NPAR
474.8999938964844	186	26440.537638888887	2	1	0.007680491551459294	NPAR
465	190	26440.53883101852	2	1	0.007518796992481203	NPAR
454.8999938964844	194	26440.540046296297	2	2	0.014727540500736378	NPAR
444.8999938964844	194	26440.54128472222	2	2	0.014727540500736378	NPAR
435	200	26440.542546296296	2	3	0.02142857142857143	NPAR
424.8999938964844	206	26440.543854166666	2	1	0.006934812760055479	NPAR
415	212	26440.545219907406	2	2	0.013477088948787064	NPAR
405.1000061035156	214	26440.546597222223	2	1	0.006675567423230976	NPAR
394.8999938964844	162	26440.547824074074	2	2	0.017636684303350973	NPAR
385.1000061035156	168	26440.548912037037	2	0	0	NPAR
375.1000061035156	172	26440.550011574072	2	3	0.024916943521594685	NPAR
364.8999938964844	176	26440.551134259258	2	8	0.06493506493506494	NPAR
354.79998779296875	176	26440.552268518517	2	5	0.04058441558441559	NPAR
344.8999938964844	168	26440.553414351853	2	3	0.025510204081632654	NPAR
335	168	26440.55453703704	2	4	0.034013605442176874	NPAR
325	170	26440.555694444443	2	7	0.05882352941176471	NPAR
315	166	26440.556863425925	2	3	0.02581755593803787	NPAR
304.8999938964844	178	26440.55804398148	2	2	0.01605136436597111	NPAR
294.8999938964844	176	26440.55925925926	2	4	0.03246753246753247	NPAR
284.8999938964844	170	26440.56050925926	2	10	0.08403361344537816	NPAR
275	172	26440.56179398148	2	9	0.07475083056478406	NPAR
264.79998779296875	178	26440.563136574074	2	17	0.13643659711075443	NPAR
255.10000610351562	184	26440.564502314814	2	9	0.06987577639751553	NPAR
245.1999969482422	140	26440.56574074074	2	15	0.15306122448979592	NPAR
234.89999389648438	130	26440.56685185185	2	7	0.07692307692307693	NPAR
224.89999389648438	130	26440.56795138889	2	8	0.08791208791208792	NPAR
214.8000030517578	138	26440.5690625	2	8	0.08281573498964803	NPAR
204.89999389648438	136	26440.570196759258	2	10	0.1050420168067227	NPAR
195	136	26440.571377314816	2	9	0.09453781512605043	NPAR
185	142	26440.57259259259	2	5	0.05030181086519115	NPAR
175.1999969482422	140	26440.57383101852	2	12	0.12244897959183673	NPAR
165	138	26440.575046296297	2	5	0.051759834368530024	NPAR
154.8000030517578	136	26440.57628472222	2	4	0.04201680672268908	NPAR
144.8000030517578	130	26440.577534722222	2	4	0.04395604395604396	NPAR
