,precision,recall,f1-score,folder,model_size
macro avg,0.4189830450825719,0.7525469703179068,0.514184260847686,3_6_75_1000,1.7032852237036802
weighted avg,0.8939793777886645,0.7973380296000271,0.8298004105844411,3_6_75_1000,1.7032852237036802
living macro avg,0.32089982093059066,0.7206797298690554,0.43364176413289185,3_6_75_1000,1.7032852237036802
living weighted avg,0.2882731392635854,0.6779128248113998,0.39964342248821894,3_6_75_1000,1.7032852237036802
accuracy,0.919006333186575,0.919006333186575,0.919006333186575,3_6_0_1000,6.184822105825921
macro avg,0.834235919423165,0.6086799058556964,0.6858064257456873,3_6_0_1000,6.184822105825921
weighted avg,0.9105079447993397,0.919006333186575,0.9119546928143942,3_6_0_1000,6.184822105825921
living macro avg,0.8202281353290051,0.5411994563677236,0.6362201282562336,3_6_0_1000,6.184822105825921
living weighted avg,0.6991223876255938,0.4859597652975692,0.5617682769542218,3_6_0_1000,6.184822105825921
accuracy,0.8059741931113896,0.8059741931113896,0.8059741931113896,2_6_75_1000,2.5698547460121604
macro avg,0.431410206978483,0.7563292732795817,0.5239871401601459,2_6_75_1000,2.5698547460121604
weighted avg,0.8963777014903825,0.8059741931113896,0.8361999608095096,2_6_75_1000,2.5698547460121604
living macro avg,0.33609929487309964,0.7240855183883432,0.445084636667991,2_6_75_1000,2.5698547460121604
living weighted avg,0.3015226582099324,0.6881810561609388,0.4142513725815005,2_6_75_1000,2.5698547460121604
accuracy,0.791546719951231,0.791546719951231,0.791546719951231,1_4_75_1000,2.9945221060108804
macro avg,0.3811741957817441,0.7711512381068949,0.480069889769129,1_4_75_1000,2.9945221060108804
weighted avg,0.8935610286817366,0.791546719951231,0.8254851858808016,1_4_75_1000,2.9945221060108804
living macro avg,0.27609323020102505,0.7430997150780239,0.39217635319263194,1_4_75_1000,2.9945221060108804
living weighted avg,0.2837722822319859,0.6810561609388097,0.394954931912096,1_4_75_1000,2.9945221060108804
accuracy,0.9222237274359061,0.9222237274359061,0.9222237274359061,1_5_0_1000,19.525367810394243
macro avg,0.8452041245400354,0.6021608695196659,0.6817440947763458,1_5_0_1000,19.525367810394243
weighted avg,0.914104098189279,0.9222237274359061,0.9151495967975938,1_5_0_1000,19.525367810394243
living macro avg,0.8322464891180801,0.5312775676587094,0.6294074465376351,1_5_0_1000,19.525367810394243
living weighted avg,0.7155477200698774,0.49497066219614416,0.5718659103938741,1_5_0_1000,19.525367810394243
